Name,Percent,Lower Bound,Upper Bound,Percent,Lower Bound,Upper Bound,ABB
Alabama,16.3,15.9,16.7,22.7,21.9,23.5,AL
Alaska,10.8,10.3,11.3,13.5,12.7,14.3,AK
Arizona,12.9,12.6,13.2,17.8,17.2,18.4,AZ
Arkansas,16,15.6,16.4,21.8,21,22.6,AR
California,12.3,12.2,12.4,15.8,15.5,16.1,CA
Colorado,9.7,9.5,9.9,11.8,11.2,12.4,CO
Connecticut,10.1,9.8,10.4,12.9,12.2,13.6,CT
Delaware,11.5,11,12,16.2,15.3,17.1,DE
District of Columbia,16.8,15.9,17.7,25.5,22.5,28.5,DC
Florida,13.2,13,13.4,18.4,17.8,19,FL
Georgia,14.2,13.9,14.5,20.5,19.9,21.1,GA
Hawaii,10.9,10.4,11.4,12.9,12,13.8,HI
Idaho,10.8,10.3,11.3,12.5,11.7,13.3,ID
Illinois,12.1,11.9,12.3,15.9,15.4,16.4,IL
Indiana,12.1,11.8,12.4,15.7,15.1,16.3,IN
Iowa,11,10.6,11.4,12.4,11.8,13,IA
Kansas,11.6,11.2,12,13.5,12.8,14.2,KS
Kentucky,16.3,16,16.6,21.2,20.5,21.9,KY
Louisiana,19.5,19.1,19.9,26.9,26.1,27.7,LA
Maine,11.2,10.7,11.7,13.8,12.9,14.7,ME
Maryland,10.3,10,10.6,14,13.4,14.6,MD
Massachusetts,10.4,10.2,10.6,12.8,12.2,13.4,MA
Michigan,13,12.8,13.2,17.6,17.1,18.1,MI
Minnesota,9.3,9.1,9.5,10.8,10.3,11.3,MN
Mississippi,19.2,18.7,19.7,27.1,26.2,28,MS
Missouri,12.8,12.5,13.1,16.5,15.9,17.1,MO
Montana,12,11.5,12.5,14.9,14.1,15.7,MT
National,12.8,12.7,12.9,16.9,16.7,17.1,NL
Nebraska,10.5,10.1,10.9,12.1,11.3,12.9,NE
Nevada,14,13.6,14.4,18.8,18,19.6,NV
New Hampshire,7.4,7,7.8,9.3,8.5,10.1,NH
New Jersey,10.2,10,10.4,13.9,13.3,14.5,NJ
New Mexico,17.7,17.1,18.3,23.1,22.1,24.1,NM
New York,14,13.8,14.2,18.8,18.3,19.3,NY
North Carolina,13.5,13.2,13.8,18.2,17.6,18.8,NC
North Dakota,10.9,10.3,11.5,11.5,10.6,12.4,ND
Ohio,13.3,13.1,13.5,18.2,17.7,18.7,OH
Oklahoma,15.4,15.1,15.7,20.5,19.8,21.2,OK
Oregon,12.2,11.9,12.5,13.8,13.1,14.5,OR
Pennsylvania,12,11.8,12.2,16.3,15.7,16.9,PA
Rhode Island,12.1,11.6,12.6,17,16.1,17.9,RI
South Carolina,14.5,14.2,14.8,19.7,19,20.4,SC
South Dakota,11.9,11.4,12.4,14.4,13.5,15.3,SD
Tennessee,13.7,13.4,14,18.4,17.8,19,TN
Texas,14.2,14,14.4,19.5,19,20,TX
Utah,8.7,8.3,9.1,8.5,7.9,9.1,UT
Vermont,10.2,9.7,10.7,11.2,10.3,12.1,VT
Virginia,10.3,10.1,10.5,13.3,12.8,13.8,VA
Washington,9.9,9.7,10.1,12,11.4,12.6,WA
West Virginia,16.8,16.3,17.3,21.4,20.5,22.3,WV
Wisconsin,10.8,10.6,11,13.6,13.1,14.1,WI
Wyoming,10.6,9.9,11.3,12.1,11.1,13.1,WY
