states,week,number,margin_error,percent_scarcity,percent_error,measure,over_18
Alabama,"59 - June 28 - July 10, 2023","483,631","108,117",14.2,3,"3,393,963","3,852,301"
Alaska,"59 - June 28 - July 10, 2023","28,387","9,815",6,2.1,"470,670","530,263"
Arizona,"59 - June 28 - July 10, 2023","553,819","102,532",11.1,2,"5,011,070","5,723,779"
Arkansas,"59 - June 28 - July 10, 2023","215,711","55,797",10.5,2.7,"2,060,120","2,290,513"
California,"59 - June 28 - July 10, 2023","2,927,941","388,961",11.4,1.5,"25,572,534","29,670,532"
Colorado,"59 - June 28 - July 10, 2023","347,048","70,445",8.4,1.7,"4,137,588","4,553,684"
Connecticut,"59 - June 28 - July 10, 2023","293,169","59,836",12,2.5,"2,447,123","2,789,532"
Delaware,"59 - June 28 - July 10, 2023","59,815","21,832",8.6,3.1,"696,937","802,595"
District of Columbia,"59 - June 28 - July 10, 2023","53,940","14,460",11.5,3.1,"469,137","514,777"
Florida,"59 - June 28 - July 10, 2023","1,868,435","297,720",11.9,1.9,"15,644,964","17,896,443"
Georgia,"59 - June 28 - July 10, 2023","1,179,903","197,628",16.7,2.7,"7,077,371","8,284,651"
Hawaii,"59 - June 28 - July 10, 2023","68,147","23,105",6.7,2.3,"1,012,881","1,104,070"
Idaho,"59 - June 28 - July 10, 2023","132,204","31,580",10.1,2.4,"1,314,390","1,463,645"
Illinois,"59 - June 28 - July 10, 2023","956,167","212,254",11.4,2.5,"8,363,663","9,564,566"
Indiana,"59 - June 28 - July 10, 2023","507,401","91,253",11.2,2,"4,547,821","5,124,472"
Iowa,"59 - June 28 - July 10, 2023","216,711","39,596",10.2,1.9,"2,125,778","2,391,994"
Kansas,"59 - June 28 - July 10, 2023","203,667","50,155",10.5,2.5,"1,944,566","2,171,506"
Kentucky,"59 - June 28 - July 10, 2023","465,340","100,291",15.4,3.2,"3,025,020","3,405,196"
Louisiana,"59 - June 28 - July 10, 2023","444,487","82,418",15.6,2.9,"2,857,111","3,394,886"
Maine,"59 - June 28 - July 10, 2023","91,106","29,290",9.1,2.9,"999,434","1,113,361"
Maryland,"59 - June 28 - July 10, 2023","429,705","94,522",10.3,2.2,"4,154,740","4,704,806"
Massachusetts,"59 - June 28 - July 10, 2023","495,225","115,424",10.3,2.3,"4,802,640","5,427,691"
Michigan,"59 - June 28 - July 10, 2023","908,322","151,304",13.3,2.1,"6,812,035","7,735,119"
Minnesota,"59 - June 28 - July 10, 2023","331,314","59,251",8.5,1.5,"3,915,912","4,311,532"
Mississippi,"59 - June 28 - July 10, 2023","428,782","79,194",22.6,4,"1,898,406","2,173,482"
Missouri,"59 - June 28 - July 10, 2023","518,091","107,851",12.7,2.6,"4,093,822","4,681,751"
Montana,"59 - June 28 - July 10, 2023","100,662","28,390",12.5,3.5,"802,176","880,407"
Nebraska,"59 - June 28 - July 10, 2023","135,718","29,307",10.9,2.3,"1,249,603","1,455,973"
Nevada,"59 - June 28 - July 10, 2023","278,344","56,909",12.6,2.5,"2,209,971","2,494,294"
New Hampshire,"59 - June 28 - July 10, 2023","77,034","21,306",7.7,2.2,"996,539","1,117,829"
New Jersey,"59 - June 28 - July 10, 2023","707,928","157,780",11.6,2.5,"6,099,631","7,122,199"
New Mexico,"59 - June 28 - July 10, 2023","232,381","39,945",15.8,2.7,"1,474,100","1,622,106"
New York,"59 - June 28 - July 10, 2023","1,750,926","351,345",13.5,2.7,"12,993,858","15,036,419"
North Carolina,"59 - June 28 - July 10, 2023","932,105","198,016",13,2.8,"7,163,050","8,270,414"
North Dakota,"59 - June 28 - July 10, 2023","50,484","15,312",9.5,2.9,"529,632","570,659"
Ohio,"59 - June 28 - July 10, 2023","856,376","159,814",10.6,2,"8,047,777","8,934,322"
Oklahoma,"59 - June 28 - July 10, 2023","522,738","88,789",19.4,3.2,"2,689,749","2,986,911"
Oregon,"59 - June 28 - July 10, 2023","373,355","67,601",12.3,2.2,"3,032,128","3,315,259"
Pennsylvania,"59 - June 28 - July 10, 2023","1,015,553","185,668",11.6,2.1,"8,724,374","9,933,427"
Rhode Island,"59 - June 28 - July 10, 2023","62,719","23,069",8.4,3.1,"748,420","848,183"
South Carolina,"59 - June 28 - July 10, 2023","518,135","129,188",14.2,3.5,"3,655,136","4,116,940"
South Dakota,"59 - June 28 - July 10, 2023","42,577","17,934",7.4,3.2,"577,842","675,019"
Tennessee,"59 - June 28 - July 10, 2023","840,380","129,118",17.5,2.7,"4,813,309","5,455,071"
Texas,"59 - June 28 - July 10, 2023","2,504,441","357,952",12.9,1.8,"19,465,815","22,460,717"
Utah,"59 - June 28 - July 10, 2023","314,078","44,210",13.8,2,"2,271,270","2,450,650"
Vermont,"59 - June 28 - July 10, 2023","40,279","16,306",8.5,3.4,"475,218","510,057"
Virginia,"59 - June 28 - July 10, 2023","591,291","105,437",10.1,1.7,"5,868,856","6,631,493"
Washington,"59 - June 28 - July 10, 2023","443,380","73,996",7.9,1.3,"5,606,307","6,050,305"
West Virginia,"59 - June 28 - July 10, 2023","153,131","40,250",12.6,3.2,"1,218,718","1,370,064"
Wisconsin,"59 - June 28 - July 10, 2023","298,757","89,621",7.4,2.2,"4,061,589","4,538,089"
Wyoming,"59 - June 28 - July 10, 2023","47,232","14,471",11.5,3.6,"410,766","442,798"
